id,name,status,temperature,stockThreshold,openTime,closeTime,installedDate,lastCheckupDate,nextCheckupDate,lowStockItems,outStockItems,position,city,country
1,Machine 1,active,5,100,04:00,23:59,2023-08-12T21:20:14.195Z,2023-09-10T12:44:07.407Z,2024-03-04T03:00:50.097Z,7,4,"25.53006179240214,104.22023052488316",Bangkok,Thailand
2,Machine 2,active,5,100,06:00,18:59,2023-10-06T22:37:29.100Z,2024-01-26T10:00:48.806Z,2024-02-22T09:36:10.521Z,14,3,"15.803070004558053,97.64736936204349",Bangkok,Thailand
3,Machine 3,active,5,100,01:00,19:59,2023-06-11T01:10:44.306Z,2023-11-15T22:51:35.324Z,2024-02-29T03:19:59.152Z,0,4,"9.828059595748156,90.63007917719915",Bangkok,Thailand
4,Machine 4,inactive,5,100,05:00,21:59,2023-07-26T02:34:01.620Z,2023-11-16T08:14:57.216Z,2024-02-17T15:10:10.696Z,17,0,"13.279964051507697,96.79825121425301",Bangkok,Thailand
5,Machine 5,active,5,100,03:00,22:59,2023-06-24T21:59:49.740Z,2024-01-18T11:01:44.454Z,2024-02-20T20:59:29.344Z,4,5,"19.48628385214726,104.14191386084633",Bangkok,Thailand
6,Machine 6,inactive,5,100,06:00,20:59,2023-09-05T23:35:35.201Z,2023-11-05T03:56:42.119Z,2024-02-25T15:12:18.936Z,20,5,"21.372594972769747,103.80517205044237",Bangkok,Thailand
7,Machine 7,active,5,100,01:00,18:59,2023-06-09T19:43:02.425Z,2023-09-21T09:14:45.570Z,2024-03-04T19:11:23.375Z,0,3,"16.247276493691167,111.31440034910588",Bangkok,Thailand
8,Machine 8,active,5,100,06:00,22:59,2023-06-14T00:03:00.926Z,2023-12-03T08:41:18.980Z,2024-02-24T05:11:14.781Z,20,1,"12.293777789917456,100.8394858390102",Bangkok,Thailand
9,Machine 9,active,5,100,03:00,22:59,2023-12-25T20:32:06.737Z,2024-01-18T11:59:34.286Z,2024-02-28T22:29:03.532Z,2,4,"9.348829376013317,107.51455125755945",Bangkok,Thailand
10,Machine 10,active,5,100,02:00,20:59,2023-10-11T23:42:04.434Z,2024-01-18T15:43:27.623Z,2024-03-01T03:40:12.259Z,6,3,"11.830669005764785,104.54929540917965",Bangkok,Thailand
11,Machine 11,inactive,5,100,05:00,18:59,2023-11-13T23:48:05.148Z,2023-11-16T16:54:53.245Z,2024-02-14T05:54:06.196Z,16,1,"15.301007022079752,101.29643403895898",Bangkok,Thailand
12,Machine 12,inactive,5,100,06:00,21:59,2023-09-06T04:26:19.359Z,2023-10-08T14:22:59.003Z,2024-02-23T01:24:11.183Z,10,0,"14.274341592069,99.6790722465829",Bangkok,Thailand
13,Machine 13,inactive,5,100,01:00,19:59,2023-07-20T09:11:19.406Z,2023-10-06T16:43:16.853Z,2024-02-29T00:25:52.602Z,17,4,"19.67005428866522,88.69306459583572",Bangkok,Thailand
14,Machine 14,active,5,100,02:00,19:59,2023-08-28T02:16:01.721Z,2023-12-22T04:07:39.758Z,2024-02-29T07:54:34.898Z,18,2,"26.350506237841266,101.24611839957231",Bangkok,Thailand
15,Machine 15,inactive,5,100,06:00,20:59,2023-10-16T08:43:32.629Z,2023-12-01T20:50:43.851Z,2024-02-19T01:21:06.148Z,5,1,"13.641441304856013,100.33789827457645",Bangkok,Thailand
16,Machine 16,active,5,100,05:00,18:59,2024-01-26T09:22:54.217Z,2024-01-27T00:52:39.693Z,2024-02-23T22:59:24.669Z,5,5,"10.384989251459498,104.74415488611191",Bangkok,Thailand
17,Machine 17,active,5,100,06:00,19:59,2023-08-30T01:48:19.227Z,2024-01-01T22:59:24.181Z,2024-02-27T02:50:40.919Z,6,5,"11.64563617735362,107.41590924204581",Bangkok,Thailand
18,Machine 18,active,5,100,01:00,23:59,2024-01-30T18:44:38.897Z,2024-01-30T22:42:04.693Z,2024-02-24T02:43:28.220Z,11,4,"6.435897942375234,110.06019231886182",Bangkok,Thailand
19,Machine 19,inactive,5,100,01:00,20:59,2023-11-07T20:47:56.443Z,2023-12-29T16:55:27.161Z,2024-02-24T22:04:38.067Z,19,4,"12.983623012658127,108.48499959696267",Bangkok,Thailand
20,Machine 20,active,5,100,06:00,22:59,2023-07-02T19:59:00.717Z,2023-07-15T11:35:45.090Z,2024-03-01T21:17:39.470Z,8,1,"23.526346006185115,107.41224862350794",Bangkok,Thailand
21,Machine 21,active,5,100,06:00,20:59,2023-07-11T05:01:38.672Z,2023-12-24T15:40:37.023Z,2024-03-04T04:36:57.368Z,18,3,"13.972262682015987,96.95814294192962",Bangkok,Thailand
22,Machine 22,active,5,100,05:00,19:59,2023-09-05T09:51:47.646Z,2023-09-24T18:44:01.217Z,2024-02-28T07:00:19.012Z,12,3,"18.190369505260698,104.70836168001415",Bangkok,Thailand
23,Machine 23,active,5,100,01:00,23:59,2023-10-22T04:57:31.183Z,2024-01-28T00:48:03.308Z,2024-02-27T18:57:07.179Z,16,3,"5.080635168453384,110.57062758003428",Bangkok,Thailand
24,Machine 24,active,5,100,01:00,21:59,2024-01-27T15:38:57.233Z,2024-01-29T08:21:07.170Z,2024-02-18T10:55:35.037Z,19,5,"12.852525680296555,99.59328974681273",Bangkok,Thailand
25,Machine 25,inactive,5,100,06:00,23:59,2023-10-12T12:03:12.640Z,2024-01-24T09:22:26.624Z,2024-02-15T10:16:05.178Z,8,0,"14.212171203051437,96.71958516391987",Bangkok,Thailand
26,Machine 26,active,5,100,05:00,18:59,2023-12-11T20:27:57.770Z,2024-01-26T04:48:24.443Z,2024-03-03T08:14:03.722Z,3,2,"17.99273290121421,98.43013010377979",Bangkok,Thailand
27,Machine 27,inactive,5,100,06:00,18:59,2023-09-18T18:53:35.236Z,2023-09-19T11:11:23.522Z,2024-02-16T21:24:09.417Z,4,0,"18.800509089940185,108.31420699383023",Bangkok,Thailand
28,Machine 28,active,5,100,02:00,22:59,2023-12-15T01:35:27.815Z,2024-01-23T16:06:57.593Z,2024-02-20T05:53:01.832Z,8,5,"9.968136691803773,96.75254195077957",Bangkok,Thailand
29,Machine 29,inactive,5,100,00:00,22:59,2023-08-23T08:33:21.735Z,2023-08-23T09:58:22.828Z,2024-02-16T17:13:00.121Z,20,2,"13.234292093247275,106.17999090548176",Bangkok,Thailand
30,Machine 30,inactive,5,100,06:00,21:59,2023-08-26T13:44:57.320Z,2024-01-27T03:34:13.501Z,2024-02-18T12:44:59.472Z,13,0,"15.909067702407022,88.44622757206957",Bangkok,Thailand
31,Machine 31,active,5,100,03:00,20:59,2023-06-27T15:57:06.192Z,2023-08-12T04:25:07.729Z,2024-02-20T20:25:47.487Z,16,0,"18.629933915143948,106.07213366927954",Bangkok,Thailand
32,Machine 32,active,5,100,06:00,21:59,2023-06-29T22:28:19.984Z,2023-11-01T18:12:41.274Z,2024-02-20T11:44:36.522Z,19,2,"14.377584856227891,100.69352440204705",Bangkok,Thailand
33,Machine 33,inactive,5,100,00:00,19:59,2023-11-07T15:43:00.415Z,2024-01-24T19:30:14.432Z,2024-02-17T06:17:01.272Z,1,1,"22.031547780037073,104.5306059774174",Bangkok,Thailand
34,Machine 34,inactive,5,100,02:00,23:59,2023-12-15T03:18:54.948Z,2023-12-29T17:48:32.289Z,2024-02-19T08:23:53.230Z,12,1,"13.847607417378368,106.27615097335683",Bangkok,Thailand
35,Machine 35,active,5,100,00:00,21:59,2023-07-18T01:00:30.361Z,2023-10-15T05:32:48.291Z,2024-02-21T09:44:37.586Z,15,0,"10.943308836568807,109.72296791413896",Bangkok,Thailand
36,Machine 36,inactive,5,100,05:00,22:59,2023-11-04T03:49:02.071Z,2023-11-24T18:29:58.975Z,2024-02-24T13:29:20.495Z,14,2,"15.205675471723788,107.09282129584017",Bangkok,Thailand
37,Machine 37,inactive,5,100,06:00,20:59,2023-10-12T03:42:26.115Z,2023-11-25T00:24:23.309Z,2024-02-20T05:23:14.108Z,5,5,"15.083837982865047,100.24322882404863",Bangkok,Thailand
38,Machine 38,inactive,5,100,03:00,22:59,2023-07-25T19:36:34.962Z,2023-09-20T04:56:21.389Z,2024-02-26T12:21:35.949Z,10,0,"10.054457653419874,103.75628560321331",Bangkok,Thailand
39,Machine 39,active,5,100,00:00,20:59,2023-08-17T15:38:31.278Z,2023-10-09T00:47:36.104Z,2024-02-14T01:41:09.599Z,2,0,"6.448086486206972,105.9820741434205",Bangkok,Thailand
40,Machine 40,active,5,100,01:00,20:59,2023-11-01T12:46:09.437Z,2023-12-26T11:50:45.746Z,2024-02-25T00:25:00.854Z,7,4,"9.824566258645827,106.33853002963974",Bangkok,Thailand
41,Machine 41,inactive,5,100,06:00,19:59,2023-10-01T14:27:02.810Z,2023-12-09T09:52:44.291Z,2024-02-24T21:22:51.074Z,13,3,"18.34506997376127,100.63625364494374",Bangkok,Thailand
42,Machine 42,active,5,100,04:00,20:59,2023-10-26T01:11:09.346Z,2023-11-01T13:01:59.628Z,2024-02-27T12:02:55.738Z,19,0,"9.62835151842462,104.89370652832235",Bangkok,Thailand
43,Machine 43,inactive,5,100,01:00,19:59,2023-08-30T06:50:48.478Z,2023-10-31T07:06:07.365Z,2024-02-18T20:15:10.377Z,2,5,"15.04765894224998,99.22837076001406",Bangkok,Thailand
44,Machine 44,active,5,100,06:00,21:59,2023-12-16T06:46:40.870Z,2023-12-26T11:18:41.704Z,2024-02-25T20:49:00.992Z,3,3,"15.437010921660516,111.58039147872512",Bangkok,Thailand
45,Machine 45,active,5,100,05:00,21:59,2023-12-04T19:07:22.732Z,2024-01-02T19:49:34.984Z,2024-02-16T20:27:08.134Z,15,0,"15.839026190172849,99.70650468376698",Bangkok,Thailand
46,Machine 46,active,5,100,01:00,18:59,2023-10-10T11:12:26.986Z,2023-11-01T22:31:22.812Z,2024-02-14T21:28:52.131Z,7,4,"6.837881615675431,104.07831365618233",Bangkok,Thailand
47,Machine 47,active,5,100,00:00,18:59,2023-07-31T00:16:05.009Z,2023-08-03T21:20:05.849Z,2024-02-16T19:25:08.714Z,16,0,"15.423919635630702,100.82391311524623",Bangkok,Thailand
48,Machine 48,inactive,5,100,02:00,22:59,2023-12-19T16:41:12.761Z,2023-12-20T05:34:59.767Z,2024-02-23T14:19:33.246Z,12,3,"11.522068297952597,105.133741975671",Bangkok,Thailand
49,Machine 49,active,5,100,03:00,23:59,2023-10-14T05:16:18.612Z,2024-01-06T12:53:02.846Z,2024-02-22T20:58:40.730Z,20,5,"14.11033554181175,103.09656015036796",Bangkok,Thailand
50,Machine 50,active,5,100,01:00,20:59,2023-06-25T13:10:19.522Z,2023-08-17T00:53:55.773Z,2024-02-13T17:20:51.933Z,16,4,"11.882646775432427,95.24346417463073",Bangkok,Thailand
51,Machine 51,active,5,100,06:00,23:59,2023-12-23T13:09:24.906Z,2024-01-27T16:43:53.668Z,2024-02-13T16:58:39.431Z,5,2,"12.034001799971433,103.43891019774628",Bangkok,Thailand
52,Machine 52,inactive,5,100,05:00,20:59,2024-01-30T11:34:39.132Z,2024-01-30T22:01:14.402Z,2024-03-04T05:11:50.492Z,18,5,"23.441708346546555,94.02045932316662",Bangkok,Thailand
53,Machine 53,active,5,100,05:00,23:59,2023-11-11T16:11:39.254Z,2024-01-20T04:16:19.958Z,2024-02-23T12:12:04.518Z,10,1,"7.607697935512137,109.77490271550585",Bangkok,Thailand
54,Machine 54,active,5,100,02:00,22:59,2023-09-29T21:23:22.021Z,2023-10-29T14:10:40.836Z,2024-02-17T09:11:01.845Z,6,4,"12.967126636203478,100.5413726380092",Bangkok,Thailand
55,Machine 55,inactive,5,100,02:00,21:59,2023-06-19T23:03:30.987Z,2023-12-09T00:27:22.244Z,2024-02-19T02:23:16.510Z,4,2,"7.336337178209169,96.4982199665335",Bangkok,Thailand
56,Machine 56,inactive,5,100,00:00,20:59,2023-07-15T14:51:36.230Z,2023-12-24T05:14:01.251Z,2024-02-23T23:48:30.554Z,16,0,"17.094903242754658,99.82903535751188",Bangkok,Thailand
57,Machine 57,active,5,100,01:00,22:59,2023-11-18T22:44:07.237Z,2023-12-28T10:45:16.875Z,2024-03-02T01:44:41.383Z,11,3,"12.172627735088321,94.3581831864658",Bangkok,Thailand
58,Machine 58,active,5,100,01:00,22:59,2023-07-04T18:44:09.115Z,2023-11-15T12:26:15.337Z,2024-03-01T04:52:00.391Z,7,5,"9.051415864184492,97.61547324577168",Bangkok,Thailand
59,Machine 59,inactive,5,100,05:00,19:59,2023-11-06T03:31:14.063Z,2023-11-27T23:43:05.870Z,2024-02-19T07:34:12.547Z,9,5,"10.608182511546607,94.48195272901125",Bangkok,Thailand
60,Machine 60,inactive,5,100,04:00,19:59,2023-11-17T01:33:44.794Z,2023-12-18T23:02:19.298Z,2024-02-25T03:45:40.823Z,9,5,"14.134484542153588,97.1736003867012",Bangkok,Thailand
61,Machine 61,active,5,100,06:00,19:59,2023-07-20T00:38:11.103Z,2023-12-09T19:08:08.030Z,2024-03-03T21:17:04.877Z,3,0,"14.400952064378554,103.94215416148472",Bangkok,Thailand
62,Machine 62,inactive,5,100,02:00,23:59,2023-08-29T23:53:38.366Z,2024-01-20T15:44:38.558Z,2024-02-14T15:48:27.417Z,5,3,"20.726297099192855,109.16346184699705",Bangkok,Thailand
63,Machine 63,inactive,5,100,04:00,21:59,2024-01-04T23:47:49.612Z,2024-01-18T14:31:37.309Z,2024-02-20T04:56:28.023Z,17,5,"14.444157497689266,100.70332074436669",Bangkok,Thailand
64,Machine 64,inactive,5,100,06:00,21:59,2024-01-06T21:11:22.530Z,2024-01-30T22:15:15.023Z,2024-02-17T00:24:02.347Z,5,4,"11.326370571988114,97.65293192818433",Bangkok,Thailand
65,Machine 65,inactive,5,100,06:00,18:59,2023-07-25T11:20:48.701Z,2023-12-14T13:50:47.791Z,2024-02-20T08:11:12.450Z,8,0,"17.22312567429259,100.94823264212698",Bangkok,Thailand
66,Machine 66,inactive,5,100,01:00,20:59,2023-06-28T09:13:33.493Z,2023-08-08T00:54:00.739Z,2024-03-01T07:08:26.956Z,1,5,"12.70206619702135,110.19938251119174",Bangkok,Thailand
67,Machine 67,active,5,100,03:00,23:59,2024-01-24T07:20:39.944Z,2024-01-24T15:04:49.045Z,2024-02-24T08:53:28.848Z,14,3,"9.373978726724571,92.24196914276195",Bangkok,Thailand
68,Machine 68,active,5,100,02:00,20:59,2023-11-29T09:04:57.968Z,2023-12-13T00:10:59.033Z,2024-03-03T04:00:19.195Z,13,5,"22.623525532536974,103.19062748802185",Bangkok,Thailand
69,Machine 69,inactive,5,100,04:00,21:59,2023-06-24T05:15:34.397Z,2023-12-10T02:33:55.679Z,2024-02-23T22:18:09.033Z,7,1,"6.674537735028817,107.04239025178538",Bangkok,Thailand
70,Machine 70,active,5,100,04:00,22:59,2023-06-19T14:02:12.004Z,2023-07-11T03:14:25.743Z,2024-02-18T23:26:30.015Z,1,2,"13.33600952078361,103.69806731971096",Bangkok,Thailand
71,Machine 71,inactive,5,100,00:00,18:59,2023-11-26T16:22:46.307Z,2024-01-16T06:24:24.930Z,2024-03-04T00:16:34.951Z,4,3,"13.483183737475755,99.59228910241325",Bangkok,Thailand
72,Machine 72,active,5,100,02:00,22:59,2023-08-31T11:54:22.009Z,2023-10-14T03:27:00.382Z,2024-02-29T00:05:57.707Z,12,3,"14.19238773729093,101.04456415513698",Bangkok,Thailand
73,Machine 73,active,5,100,02:00,23:59,2023-11-14T05:17:52.326Z,2023-11-20T07:40:31.941Z,2024-02-15T05:22:55.199Z,12,0,"9.04159084054379,101.72914464126939",Bangkok,Thailand
74,Machine 74,inactive,5,100,05:00,19:59,2023-09-19T03:48:13.852Z,2023-12-28T18:06:35.354Z,2024-02-14T00:57:11.660Z,1,4,"25.099664979648217,98.09375386459772",Bangkok,Thailand
75,Machine 75,inactive,5,100,01:00,18:59,2023-11-04T14:34:23.243Z,2024-01-28T17:16:40.098Z,2024-02-18T05:30:40.516Z,11,4,"14.305876678812586,98.86508568736826",Bangkok,Thailand
76,Machine 76,active,5,100,05:00,21:59,2023-11-24T18:36:22.216Z,2024-01-10T11:16:13.880Z,2024-03-03T00:32:15.032Z,13,5,"13.610113966466447,100.64361496991239",Bangkok,Thailand
77,Machine 77,active,5,100,05:00,18:59,2023-08-18T06:24:04.692Z,2023-12-18T08:07:47.831Z,2024-03-02T19:41:04.332Z,17,4,"9.073002956621886,101.76702667175971",Bangkok,Thailand
78,Machine 78,active,5,100,04:00,22:59,2023-11-07T12:02:19.450Z,2023-12-20T10:53:39.980Z,2024-02-19T20:43:35.061Z,19,5,"14.118120460267939,100.86045841301507",Bangkok,Thailand
79,Machine 79,active,5,100,00:00,20:59,2023-11-17T03:33:35.756Z,2023-11-24T11:31:43.936Z,2024-02-20T15:43:18.960Z,16,2,"13.99622967116385,100.61555368091922",Bangkok,Thailand
